,Ativação,FASE,MAE,RMSE,Rede,Epoca
0,relu,image-treat-1,10.537234433492024,13.553820329789922,lenet,4
1,lrelu,image-treat-1,38.3304495493571,40.82653421484726,lenet,8
2,relu,image-treat-1,11.032492383321124,13.764648661519306,alexnet,5
3,lrelu,image-treat-1,39.278125,41.974880881308046,alexnet,5
4,relu,image-treat-2,37.85442441304525,40.2722335032606,lenet,39
5,lrelu,image-treat-2,38.50155703226725,41.065952902531905,lenet,21
6,relu,image-treat-2,11.591326713562012,14.595028310332069,alexnet,16
7,lrelu,image-treat-2,28.062362543741866,31.811021627813343,alexnet,16
8,relu,image-treat-3,38.656497446695965,41.20074617271879,lenet,46
9,lrelu,image-treat-3,38.26153322855632,40.85525463211174,lenet,38
10,relu,image-treat-3,13.098313903808592,15.884112544658587,alexnet,7
11,lrelu,image-treat-3,35.250237528483076,38.044025282566,alexnet,18
12,relu,abordagem-4,9.980925496419273,12.918467809962895,lenet,38
13,relu,abordagem-5,10.089216232299805,13.030968210663557,lenet,9
14,relu,abordagem7,40.99803720133416,38.39552218119304,vgg16,23.0
15,relu,abordagem6,40.90404072568873,38.35208244323731,vgg16,11.0

